player_total,dealer_card,soft,win_prob,best_move
14,11,1,0.275,1
11,10,0,0.459,1
18,5,0,0.535,0
15,10,1,0.302,1
12,9,0,0.286,1
7,11,0,0.205,0
13,10,0,0.257,1
13,7,0,0.317,1
17,8,0,0.254,0
13,8,0,0.29,1
12,10,0,0.2685,1
15,9,0,0.227,1
18,4,0,0.525,0
15,11,0,0.2065,0
11,10,0,0.474,1
21,7,1,0.933,0
14,8,0,0.2865,1
20,4,0,0.765,0
14,10,0,0.224,0
9,10,0,0.308,1
12,5,0,0.4175,0
12,2,0,0.358,0
12,10,0,0.2475,1
21,10,1,0.9005,0
16,10,0,0.2105,0
15,10,0,0.2165,0
20,4,0,0.7625,0
15,2,0,0.353,0
8,8,0,0.313,1
20,2,0,0.7545,0
20,4,0,0.748,0
17,10,1,0.317,1
12,5,0,0.4345,0
10,9,0,0.4755,1
5,10,0,0.213,0
13,10,0,0.2325,1
18,5,0,0.5385,0
13,10,0,0.237,1
12,10,0,0.244,1
19,10,0,0.4485,0
18,9,1,0.3675,1
20,10,0,0.5615,0
15,4,0,0.391,0
13,10,0,0.228,1
16,10,0,0.213,0
16,10,0,0.214,0
9,10,0,0.307,1
9,4,0,0.5135,1
18,5,0,0.512,0
13,10,0,0.2305,1
16,10,0,0.2155,0
14,11,0,0.1955,0
11,7,0,0.551,1
8,2,0,0.415,1
10,11,0,0.365,1
21,9,1,0.939,0
5,10,0,0.213,0
13,11,0,0.196,0
4,5,0,0.4205,0
15,8,0,0.2805,1
15,10,0,0.207,0
13,10,0,0.2355,1
15,9,0,0.232,1
20,6,0,0.8035,0
9,6,0,0.5505,1
21,3,1,0.8825,0
18,5,0,0.53,0
9,10,0,0.297,1
10,3,0,0.557,1
16,3,0,0.372,0
11,2,0,0.579,1
17,2,0,0.367,0
20,2,0,0.755,0
16,7,0,0.277,0
14,10,0,0.222,1
16,11,0,0.212,0
17,2,0,0.351,0
16,6,0,0.451,0
15,10,0,0.22,0
11,3,0,0.5755,1
17,10,0,0.219,0
10,3,0,0.563,1
21,10,1,0.8895,0
13,10,1,0.331,1
14,5,1,0.501,1
21,7,1,0.9285,0
20,7,0,0.8385,0
7,9,0,0.236,1
17,11,0,0.2,0
17,6,0,0.4515,0
15,10,1,0.316,1
20,10,1,0.549,0
20,6,0,0.777,0
12,11,0,0.2115,1
12,11,0,0.2165,1
10,8,0,0.5355,1
15,10,0,0.221,0
10,10,0,0.3855,1
16,2,1,0.468,1
20,10,0,0.5375,0
11,3,0,0.599,1
13,4,0,0.3765,0
13,5,0,0.4085,0
20,4,0,0.759,0
15,10,0,0.2135,1
13,2,0,0.3505,0
19,4,0,0.6655,0
15,8,1,0.4165,1
15,11,0,0.185,0
13,10,0,0.236,1
12,9,0,0.2825,1
13,7,0,0.314,1
13,11,1,0.2785,1
15,2,0,0.374,0
13,4,0,0.388,0
13,10,0,0.237,1
12,8,0,0.2985,1
12,7,0,0.326,1
12,3,0,0.3735,1
13,6,1,0.5185,1
20,8,0,0.856,0
16,6,0,0.4425,0
19,8,0,0.727,0
12,8,0,0.2965,1
17,9,0,0.2335,0
18,9,0,0.3415,0
5,10,0,0.228,0
20,7,0,0.844,0
11,9,0,0.5445,1
6,3,0,0.3865,1
6,10,0,0.2275,1
9,3,0,0.479,1
17,7,0,0.2545,0
16,10,1,0.3055,1
20,10,0,0.566,0
14,10,0,0.219,0
14,10,0,0.2195,1
9,2,0,0.4775,1
16,7,0,0.2785,1
17,9,0,0.2205,0
17,10,0,0.216,0
5,9,0,0.2365,0
8,11,0,0.2435,1
20,7,0,0.852,0
13,8,0,0.3035,1
13,10,0,0.239,1
13,2,0,0.365,0
17,10,0,0.2065,0
20,6,0,0.7855,0
12,11,0,0.216,1
14,10,0,0.223,1
11,10,0,0.4675,1
20,7,0,0.8505,0
8,4,0,0.4575,1
16,6,0,0.434,0
14,9,0,0.2465,1
14,11,0,0.213,0
21,7,1,0.923,0
9,11,0,0.2685,1
20,2,0,0.762,0
5,10,0,0.224,1
17,7,0,0.266,1
9,10,0,0.321,1
8,7,0,0.4325,1
12,9,0,0.278,1
13,5,0,0.4195,0
13,10,0,0.241,1
14,6,0,0.436,0
13,3,1,0.484,1
18,10,0,0.3365,0
16,2,0,0.3595,0
12,10,0,0.248,1
11,7,0,0.583,1
16,11,0,0.1805,0
12,2,0,0.3645,0
17,10,0,0.2235,0
18,3,1,0.494,0
21,10,1,0.8905,0
18,3,0,0.509,0
14,10,0,0.219,0
15,10,0,0.2055,1
12,9,0,0.2865,1
17,10,0,0.2065,0
20,10,0,0.5475,0
20,4,0,0.762,0
14,2,0,0.3375,0
20,5,0,0.761,0
19,10,0,0.448,0
8,11,0,0.2335,1
11,10,0,0.4525,1
15,4,0,0.4065,0
17,5,0,0.401,0
6,4,0,0.414,0
20,10,0,0.554,0
13,10,0,0.245,1
14,8,0,0.2725,1
15,6,0,0.431,0
13,5,0,0.41,0
7,9,0,0.2515,1
20,10,0,0.547,0
20,11,0,0.5275,0
13,10,0,0.242,1
16,10,0,0.226,0
19,4,0,0.6535,0
18,10,0,0.327,0
19,10,0,0.4475,0
18,9,1,0.385,1
13,3,0,0.3895,0
21,6,1,0.88,0
19,11,0,0.3935,0
20,8,0,0.866,0
16,10,0,0.2195,0
17,10,0,0.201,0
19,9,0,0.466,0
8,10,0,0.2615,1
13,10,0,0.2305,1
15,10,0,0.1995,0
13,3,0,0.3745,0
12,5,0,0.4,0
20,4,0,0.76,0
18,8,0,0.3455,0
14,7,0,0.3,1
18,7,0,0.634,0
18,2,0,0.4685,0
20,2,0,0.7585,0
20,10,0,0.5545,0
14,7,0,0.3105,1
5,10,0,0.2165,1
14,8,0,0.2765,1
15,10,0,0.2185,0
13,5,0,0.4125,0
12,10,0,0.2485,1
13,4,0,0.3965,0
20,10,0,0.538,0
13,10,0,0.2365,1
13,2,0,0.3625,0
19,10,1,0.453,0
13,8,0,0.293,1
17,7,1,0.4315,1
20,7,0,0.838,0
17,4,0,0.4075,0
6,11,0,0.205,0
14,11,0,0.21,0
20,10,0,0.537,0
14,7,0,0.3045,1
9,11,0,0.28,1
16,8,0,0.2555,0
20,3,1,0.754,0
20,3,0,0.7765,0
18,10,0,0.317,0
13,6,0,0.4585,0
11,7,0,0.5605,1
19,10,1,0.433,0
20,8,0,0.85,0
12,2,0,0.3735,0
9,9,0,0.3315,1
10,10,0,0.395,1
14,7,0,0.2975,1
10,3,0,0.5575,1
15,6,1,0.5245,1
11,5,0,0.6285,1
4,10,0,0.213,1
12,6,0,0.4465,0
21,11,1,0.643,0
20,8,1,0.8465,0
16,8,1,0.411,1
19,3,0,0.635,0
16,10,0,0.207,0
14,3,0,0.3935,0
5,7,0,0.265,1
16,3,0,0.376,0
15,4,0,0.3815,0
7,10,0,0.2175,1
15,11,1,0.269,1
11,2,0,0.5675,1
19,9,0,0.475,0
